date,tweet,location,keyword
Wed Jul 17 11:58:13 +0000 2019,RT @shane_ewen: Y9 pupils: get your poster entries in for a chance to help write a graphic novel story on the unsung heroes of the Bradford…,"Yorkshire/E. Midlands, England",@WYFRS
Tue Jul 16 15:55:56 +0000 2019,RT @CHFTSIT: Just met with @WYFRS @stayingwellcal @BluebirdCareCLD and Memory Lane Dementia Cafe to plan an event for the first week in Oct…,"Westminster, London",@WYFRS
Tue Jul 16 15:28:04 +0000 2019,RT @CHFTSIT: Just met with @WYFRS @stayingwellcal @BluebirdCareCLD and Memory Lane Dementia Cafe to plan an event for the first week in Oct…,"Halifax, England",@WYFRS
Tue Jul 16 11:29:23 +0000 2019,Just met with @WYFRS @stayingwellcal @BluebirdCareCLD and Memory Lane Dementia Cafe to plan an event for the first… https://t.co/AAIk3LLU5C,"Halifax, England",@WYFRS
Tue Jul 16 09:44:01 +0000 2019,@Davidmhoyle @WYFRS @firefighters999 I'll take harry he will love it,"Keighley, England",@WYFRS
Mon Jul 15 21:01:04 +0000 2019,RT @shane_ewen: Y9 pupils: get your poster entries in for a chance to help write a graphic novel story on the unsung heroes of the Bradford…,Saltaire,@WYFRS
Mon Jul 15 20:25:04 +0000 2019,RT @shane_ewen: Y9 pupils: get your poster entries in for a chance to help write a graphic novel story on the unsung heroes of the Bradford…,Birmingham & Leeds,@WYFRS
Mon Jul 15 19:46:35 +0000 2019,RT @shane_ewen: Y9 pupils: get your poster entries in for a chance to help write a graphic novel story on the unsung heroes of the Bradford…,Yorkshire and The Humber,@WYFRS
Mon Jul 15 19:46:16 +0000 2019,RT @shane_ewen: Y9 pupils: get your poster entries in for a chance to help write a graphic novel story on the unsung heroes of the Bradford…,Bradford,@WYFRS
Mon Jul 15 16:07:47 +0000 2019,Got a spare few minutes this week? Check out @WYFRS  interactive 'Fire Safety Check' https://t.co/8PQZ830xya,Bradford,@WYFRS
Mon Jul 15 15:55:51 +0000 2019,RT @shane_ewen: Y9 pupils: get your poster entries in for a chance to help write a graphic novel story on the unsung heroes of the Bradford…,,@WYFRS
Mon Jul 15 15:46:52 +0000 2019,RT @shane_ewen: Y9 pupils: get your poster entries in for a chance to help write a graphic novel story on the unsung heroes of the Bradford…,Leeds,@WYFRS
Mon Jul 15 14:53:11 +0000 2019,RT @shane_ewen: Y9 pupils: get your poster entries in for a chance to help write a graphic novel story on the unsung heroes of the Bradford…,"Leeds, England",@WYFRS
Mon Jul 15 14:51:45 +0000 2019,RT @shane_ewen: Y9 pupils: get your poster entries in for a chance to help write a graphic novel story on the unsung heroes of the Bradford…,,@WYFRS
Mon Jul 15 14:43:23 +0000 2019,Y9 pupils: get your poster entries in for a chance to help write a graphic novel story on the unsung heroes of the… https://t.co/YMck9QXp2f,"Otley, England",@WYFRS
