date,tweet,location,keyword
Wed Jul 17 12:56:33 +0000 2019,@HydrogenAPPG @Colin_J_Clark Converting the methane gas supply to methane gas reformed into hydrogen?  Making hydro… https://t.co/Ed1ABNTEF1,"Keighley, England",gas
Tue Jul 16 17:23:05 +0000 2019,RT @MrKevinBoniface: Think there are peregrines nesting in the gas holder (gasworks) Leeds Rd. Saw one chasing a pigeon this morning. Can a…,,gas
Tue Jul 16 15:58:16 +0000 2019,Think there are peregrines nesting in the gas holder (gasworks) Leeds Rd. Saw one chasing a pigeon this morning. Ca… https://t.co/O87XJIQktO,Huddersfield UK,gas
Mon Jul 15 18:02:06 +0000 2019,"So I'm stranded at lake Nona campus since I don't have my wallet, and my car is out of gas. What do I do LOL",CFL,gas
Mon Jul 15 17:17:34 +0000 2019,RT @andrewdavidcleg: Ross Parker was 17 when he was attacked by a gang of 10 Pakistani Muslims for being white. They sprayed him with CS ga…,"Wales, United Kingdom",gas
Mon Jul 15 16:12:27 +0000 2019,"@martinp10984 @GingerOgre I don’t really like drinking, nothing against it but I’ll maybe have one at the gas club… https://t.co/rPxbCH36jz",Huddersfield,gas
Mon Jul 15 13:00:23 +0000 2019,"#hiring *Gas Team Leader*, Bradford, *United Kingdom*, fulltime #bradfordjobs

*For more details &amp;amp; to apply, cl… https://t.co/B2r7Qpk9jh","Bradford, England",gas
Mon Jul 15 12:02:27 +0000 2019,"RT @keighleybus: Due to gas works in Addingham, there may be delays on the #the62 service in both directions and also the school services f…","Leeds, West Yorkshire, UK",gas
Mon Jul 15 12:01:04 +0000 2019,"Due to gas works in Addingham, there may be delays on the #the62 service in both directions and also the school ser… https://t.co/xSOZloGGhT","Keighley, UK",gas
Mon Jul 15 11:51:01 +0000 2019,"RT @J3Riding: Make sure your property is Gas Safe!
All appliances need to be tested and serviced regularly - gas #Boilers, Gas #Cookers, #g…",United Kingdom,gas
Mon Jul 15 11:05:19 +0000 2019,@BoltonTerrier But where's the pure unadulterated joy of getting it to light? The heat of the coals? The camererie… https://t.co/oYTqe6rpEU,"Huddersfield, England",gas
Mon Jul 15 09:22:03 +0000 2019,"RT @J3Riding: Make sure your property is Gas Safe!
All appliances need to be tested and serviced regularly - gas #Boilers, Gas #Cookers, #g…","Wakefield, England",gas
Mon Jul 15 07:58:31 +0000 2019,"Make sure your property is Gas Safe!
All appliances need to be tested and serviced regularly - gas #Boilers, Gas… https://t.co/RtQG33wUop","Brighouse, England",gas
Mon Jul 15 00:22:58 +0000 2019,"@Skip2MyJays @WWE Tell me about it, I thought they had released knockout gas or something. This early on in the car… https://t.co/w6y4PPfD35","Keighley, England",gas
Mon Jul 15 08:30:16 +0000 2019,A construction company has been fined after a worker suffered carbon monoxide poisoning: https://t.co/NnyxOztYdp… https://t.co/XVAKxnngQE,Huddersfield,carbon monoxide
Mon Jul 08 15:47:28 +0000 2019,Ryanair flight diverted as Leeds Bradford Airport is evacuated due to fire alarm https://t.co/1WDsdpHo1M,"Bradford,  England",fire alarm
Wed Jul 17 09:29:20 +0000 2019,Flooding has wrought devastation across Calderdale. This is an important bill to help protect communities. All the… https://t.co/vl1hbpZexW,"Halifax, England",flooding
Fri Jul 12 13:02:36 +0000 2019,New Orleans Faces A Never-before-seen Problem With Tropical Storm Barry via Digg https://t.co/t6E8Kfcxex #telephone… https://t.co/BaVtQQ49mN,"Huddersfield, England",flooding
Fri Jul 12 05:45:21 +0000 2019,"Watching New Orleans flooding on @BBCBreakfast Ethan goes ""mummy you need to go and sort out that flooding"" 😍","Bingley, England",flooding
Wed Jul 10 19:13:12 +0000 2019,"@bradford_up Then you obviously haven't been  in North Parade during and after a big football match. Look, I and ot… https://t.co/IaTK4nvzal",BRADFORD UK,flooding
Wed Jul 17 12:03:23 +0000 2019,"Really interested to see this on the @YorkshireWater intranet today.
Looking forward to seeing the output from the… https://t.co/nd8ISqzJKw","Halifax, England",yorkshirewater
Wed Jul 17 07:45:45 +0000 2019,@CWhit64 @hawarunsaunders @Refill @PlasticFreeTues @refillbradford @YorkshireWater A more authoritarian style of rule.," Bradford, West Yorkshire",yorkshirewater
Wed Jul 17 06:57:17 +0000 2019,@Simon_C_Moore @PaulChatterton9 @YorkshireWater @UniversityLeeds @LeedsCC_News I hope these are iterative prototypi… https://t.co/gu6tGvPBfL,"Keighley, England",yorkshirewater
Tue Jul 16 22:44:17 +0000 2019,Let Yorkshire Water contact you by phone | Yorkshire Water https://t.co/TiXELcJele,keighley uk,yorkshirewater
Tue Jul 16 21:00:33 +0000 2019,@YorkshireWater It was just my dog fetching his stick. Us humans stayed on dry land ☺️,"Baildon, England",yorkshirewater
Tue Jul 16 18:53:30 +0000 2019,Summer evening swim at #Swinsty 😍 @YorkshireWater #notspolitatall #summernights #outandabout https://t.co/xnmZOp2Iwu,"Baildon, England",yorkshirewater
Tue Jul 16 14:40:18 +0000 2019,@Claire98312043 @YorkshireWater This is appalling 🤢,huddersfield,yorkshirewater
