date,tweet,location,keyword
Wed Jul 17 13:41:01 +0000 2019,"@OMGitsAliA Slower fire rate I think to the combat, at least we can use this as a good one shot now 👊","Dewsbury, England",fire
Wed Jul 17 13:16:56 +0000 2019,@markblundellf1 Hell fire,"Bingley, England",fire
Wed Jul 17 13:05:00 +0000 2019,@StefanHowarth_ Rashy on fire breaking ankles,"Halifax, England",fire
Wed Jul 17 11:58:13 +0000 2019,RT @shane_ewen: Y9 pupils: get your poster entries in for a chance to help write a graphic novel story on the unsung heroes of the Bradford…,"Yorkshire/E. Midlands, England",fire
Wed Jul 17 11:07:28 +0000 2019,"We have availability this weekend 
Mascots 
Crazy party fire engine 
Bouncy castles much much more x",bradford,fire
Wed Jul 17 10:05:00 +0000 2019,"1 day Fire Safety course 
Suitable for fire marshals &amp; those with responsibility for #fire safety in the workplace… https://t.co/cpN1lmpgco",Huddersfield,fire
Wed Jul 17 02:57:58 +0000 2019,We will be announcing our penultimate band for our Forged in Fire Festival tonight at 7pm so watch this space ! https://t.co/CKCfyooQ2u,"England, United Kingdom",fire
Wed Jul 17 00:19:25 +0000 2019,"I know its #bradford but even I was shocked to learn the murder victim in allerton was apparently kidnapped, had hi… https://t.co/qk5GCVXccS","Bradford, England",fire
Wed Jul 17 00:10:36 +0000 2019,@papiithbk The first one is complete fire!... Let's see if you smash it again 💙💛,Bradford,fire
Tue Jul 16 22:29:25 +0000 2019,"Hot chocolate, mash mellow and camp fire 🔥 the perfect end to a great day at East Barnby https://t.co/ezHTZAYA0o","Bradford, England",fire
Tue Jul 16 22:26:01 +0000 2019,Camp fire was very popular https://t.co/TjdJB5H9mV,"Bradford, England",fire
Tue Jul 16 22:25:08 +0000 2019,I’m the fire starter🔥 https://t.co/Wa9E2UNX3w,"Bradford, England",fire
Tue Jul 16 22:17:43 +0000 2019,"RT @DirectVoiceData: Are you #electrical and #security services due for renewal?

Fixed Wire Testing
Security Lighting
Cabling
CCTV Systems…",,fire
Tue Jul 16 21:43:12 +0000 2019,She set her self on fire ffs,"Mirfield, England",fire
Tue Jul 16 21:38:11 +0000 2019,RT @andrewdavidcleg: Revenge arsonist torched Bradford takeaway in 'grand gesture of destruction' https://t.co/k3wPSOrZMT,England,fire
