date,tweet,location,keyword
Wed Jul 17 09:03:47 +0000 2019,"@AngeloS36884384 @farmgirlmim @EricBolduc9 @thegoodgodabove @AOC So I'll ask again, which is yours? Maybe I'll avoi… https://t.co/VSrHgTysCd",Huddersfield,fires
Tue Jul 16 11:48:27 +0000 2019,"RT @SalesBatley: Please Share this
Importance of buying from your local retailer
You will find products which are only available from exper…","Doncaster, South Yorkshire",fires
Tue Jul 16 00:46:32 +0000 2019,Ocasio-Cortez fires back at Trump: I'm not surprised https://t.co/0xd37MYL2k via @YouTube,"Bradford, UK",fires
Mon Jul 15 17:57:14 +0000 2019,@john_cade Sure is! He and his company own a property empire &amp; he’s got an MBE!! Humble guy still builds his own fires! 😂,"Bradford, UK",fires
Mon Jul 15 13:43:25 +0000 2019,Elder making fires in forest school this morning! https://t.co/3qPeuioCGN,Wilsden,fires
Mon Jul 15 11:51:01 +0000 2019,"RT @J3Riding: Make sure your property is Gas Safe!
All appliances need to be tested and serviced regularly - gas #Boilers, Gas #Cookers, #g…",United Kingdom,fires
Mon Jul 15 09:22:03 +0000 2019,"RT @J3Riding: Make sure your property is Gas Safe!
All appliances need to be tested and serviced regularly - gas #Boilers, Gas #Cookers, #g…","Wakefield, England",fires
Mon Jul 15 08:47:51 +0000 2019,"RT @danhowarthphoto: ""Regeneration""

Just 5 weeks ago this place burnt to a crisp by the moorland fires. Amazing how quick things can grow…",,fires
Mon Jul 15 07:58:31 +0000 2019,"Make sure your property is Gas Safe!
All appliances need to be tested and serviced regularly - gas #Boilers, Gas… https://t.co/RtQG33wUop","Brighouse, England",fires
Sat Jul 13 14:35:58 +0000 2019,"35’ #nurderHSV 0-1 #htafc: Ozcan fires wide again.

Kittel breaks down the left and pulls the ball back to the midf… https://t.co/CtIdezE5XF",Huddersfield,fires
Sat Jul 13 12:04:15 +0000 2019,"3’ #FCBayern 0-0 #htafc U19s

A good start from Town!

The first shot comes from Andrew Ijiwole after good work fro… https://t.co/BSc1vclvmT","Huddersfield, England",fires
Fri Jul 12 16:40:16 +0000 2019,"@Tallestpurpl @BorisJohnson It's usually a cannon belonging to clowns that fires confetti, but in this case it's a… https://t.co/OER4s3MLyY",BRADFORD UK,fires
Thu Jul 11 14:46:01 +0000 2019,"Here's how effective #perimeterfencing can help minimise the risk of arson fires, especially in #schools. 🏙➡… https://t.co/amnks0cE4E",Leeds/Bradford,fires
Thu Jul 11 12:27:19 +0000 2019,@NASA Don't forget the encroachment of humans into nature as a leading cause of fires.,CFL,fires
Thu Jul 11 12:00:19 +0000 2019,"They are currently building fires, ready to cook burgers for lunch! https://t.co/EVzPSL00oV","Bradford, England",fires
