date,tweet,location,keyword
Wed Jul 17 12:03:23 +0000 2019,"Really interested to see this on the @YorkshireWater intranet today.
Looking forward to seeing the output from the… https://t.co/nd8ISqzJKw","Halifax, England",yorkshirewater
Wed Jul 17 07:45:45 +0000 2019,@CWhit64 @hawarunsaunders @Refill @PlasticFreeTues @refillbradford @YorkshireWater A more authoritarian style of rule.," Bradford, West Yorkshire",yorkshirewater
Wed Jul 17 06:57:17 +0000 2019,@Simon_C_Moore @PaulChatterton9 @YorkshireWater @UniversityLeeds @LeedsCC_News I hope these are iterative prototypi… https://t.co/gu6tGvPBfL,"Keighley, England",yorkshirewater
Tue Jul 16 22:44:17 +0000 2019,Let Yorkshire Water contact you by phone | Yorkshire Water https://t.co/TiXELcJele,keighley uk,yorkshirewater
Tue Jul 16 21:00:33 +0000 2019,@YorkshireWater It was just my dog fetching his stick. Us humans stayed on dry land ☺️,"Baildon, England",yorkshirewater
Tue Jul 16 18:53:30 +0000 2019,Summer evening swim at #Swinsty 😍 @YorkshireWater #notspolitatall #summernights #outandabout https://t.co/xnmZOp2Iwu,"Baildon, England",yorkshirewater
Tue Jul 16 14:40:18 +0000 2019,@Claire98312043 @YorkshireWater This is appalling 🤢,huddersfield,yorkshirewater
Tue Jul 16 14:17:56 +0000 2019,@LeedsSteampunks @YorkshireWater @MetroTravelNews Yes,"Keighley, UK",yorkshirewater
Tue Jul 16 13:41:21 +0000 2019,@YorkshireWater Great thankyou.  I don't drive so I'll just walk to my local and load my pram with bottled water 👍🏻👍🏻👍🏻 cheers,"Huddersfield, England",yorkshirewater
Tue Jul 16 13:23:39 +0000 2019,@YorkshireWater Thankyou.  Can you provide this please,"Huddersfield, England",yorkshirewater
Tue Jul 16 13:06:38 +0000 2019,@YorkshireWater So I'm to wait for the council..  And not use my water....  I mean would you drink this.  This is a… https://t.co/hD4xnhtiP4,"Huddersfield, England",yorkshirewater
Tue Jul 16 12:51:23 +0000 2019,@YorkshireWater IV contacted my local council. Its all taps.  Yorkshire water will no longer supply me bottled wate… https://t.co/m85P7yT5LR,"Huddersfield, England",yorkshirewater
Tue Jul 16 12:17:52 +0000 2019,@YorkshireWater are telling me the tests are clear 🤔🤔🤔 anyone else having this.  Been month almost now. Can't drink… https://t.co/s2hAPS4z4F,"Huddersfield, England",yorkshirewater
Tue Jul 16 10:56:50 +0000 2019,@FLYKiteFestival @YorkshireWater @HmadeParade are you guys returning to Sunny Halifax this years?,"Halifax, UK",yorkshirewater
Tue Jul 16 10:10:28 +0000 2019,"Richard Flint, @YorkshireWater's long serving CEO has announced his retirement with Liz Barber to take his place. C… https://t.co/KfwgjQcRPH","Bradford, England",yorkshirewater
